City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Abha,SA,18.22,42.51,57.2,28,0,1.45,clear sky
224,Saint-Louis,SN,16.33,-15.0,78.8,44,0,10.0,clear sky
225,Jibuti,DJ,11.5,42.5,78.8,74,20,15.23,few clouds
226,Geraldton,AU,-28.77,114.6,62.6,82,75,12.75,broken clouds
227,Strezhevoy,RU,60.73,77.59,32.0,97,90,8.95,overcast clouds
228,Houma,US,29.6,-90.72,66.99,68,1,8.05,clear sky
229,Concepcion,CL,-36.83,-73.05,53.6,87,90,4.7,overcast clouds
230,Ilulissat,GL,69.22,-51.1,19.4,67,100,8.05,light snow
231,Saint George,US,37.1,-113.58,77.0,10,1,3.02,clear sky
232,Wonthaggi,AU,-38.6,145.59,73.0,76,0,0.54,clear sky
233,Alofi,NU,-19.06,-169.92,80.6,78,90,17.22,overcast clouds
234,Atuona,PF,-9.8,-139.03,77.68,77,85,13.87,light rain
235,Majene,ID,-3.54,118.97,83.84,70,100,7.38,overcast clouds
236,Riyadh,SA,24.69,46.72,60.8,48,0,5.08,clear sky
237,Kirkwall,GB,58.98,-2.96,50.0,76,4,27.51,clear sky
238,Chama,CH,47.18,8.46,55.99,87,90,1.12,overcast clouds
239,Mahebourg,MU,-20.41,57.7,68.0,94,20,1.12,few clouds
240,Asyut,EG,27.18,31.18,68.0,77,0,11.41,clear sky
241,Antofagasta,CL,-23.65,-70.4,59.0,77,20,12.75,few clouds
242,Tonosho,JP,34.48,134.18,60.8,100,75,3.36,shower rain
243,Lebu,CL,-37.62,-73.65,52.48,96,55,8.1,broken clouds
244,Celestun,MX,20.87,-90.4,76.08,80,30,16.78,scattered clouds
245,Baley,RU,51.6,116.63,13.53,84,70,6.38,broken clouds
246,Ust-Kuyga,RU,70.02,135.6,-15.29,87,96,8.48,overcast clouds
247,Pathein,MM,16.78,94.73,77.74,88,0,2.86,clear sky
248,Samana,DO,19.21,-69.34,77.77,87,65,9.1,broken clouds
249,Sitka,US,57.05,-135.33,48.2,87,90,24.16,moderate rain
250,Gizo,SB,-8.1,156.84,86.13,67,7,1.3,clear sky
251,Buala,SB,-8.14,159.59,88.11,63,31,3.71,scattered clouds
252,San Javier,ES,37.81,-0.84,59.0,100,0,4.05,clear sky
253,Lokosovo,RU,61.13,74.82,26.62,97,67,11.43,broken clouds
254,Kenora,CA,49.82,-94.43,28.4,58,75,14.99,broken clouds
255,Tessalit,ML,20.2,1.01,73.0,23,61,12.3,broken clouds
256,Takoradi,GH,4.88,-1.76,77.88,89,60,6.55,broken clouds
257,Asfi,MA,32.3,-9.24,65.32,81,0,10.69,clear sky
258,Staryy Saltiv,UA,50.08,36.79,50.0,93,40,6.71,scattered clouds
259,Lavrentiya,RU,65.58,-171.0,22.93,87,4,5.48,clear sky
260,Nacala,MZ,-14.54,40.67,73.45,74,0,1.52,clear sky
261,Guerrero Negro,MX,27.98,-114.06,71.94,58,0,11.23,clear sky
262,Vengerovo,RU,55.68,76.75,33.73,89,100,10.31,overcast clouds
263,Malanje,AO,-9.54,16.34,64.18,97,90,2.8,overcast clouds
264,Dicabisagan,PH,17.08,122.42,80.28,84,100,1.95,light rain
265,Lata,PT,40.16,-8.33,64.99,95,95,0.94,overcast clouds
266,Rudnyy,KZ,52.96,63.12,33.8,74,90,8.95,overcast clouds
267,Lovozero,RU,68.0,35.01,36.0,93,100,9.28,overcast clouds
268,Grand-Lahou,CI,5.14,-5.02,77.49,90,2,6.46,clear sky
269,Poum,NC,-20.23,164.02,78.98,75,0,12.37,clear sky
270,San Cristobal,VE,7.77,-72.22,66.78,93,100,2.1,light rain
271,Svarstad,NO,59.4,9.97,50.0,1,100,8.01,moderate rain
272,Coihaique,CL,-45.58,-72.07,66.2,34,0,3.36,clear sky
273,Nouadhibou,MR,20.93,-17.03,75.2,53,100,13.87,overcast clouds
274,Mananara,MG,-16.17,49.77,66.11,75,54,3.98,broken clouds
275,College,US,64.86,-147.8,3.0,77,20,1.23,few clouds
276,Richards Bay,ZA,-28.78,32.04,63.79,94,100,6.35,moderate rain
277,Pauini,BR,-7.71,-66.98,74.16,92,21,1.5,light rain
278,Bilma,NE,18.69,12.92,70.38,25,0,9.15,clear sky
279,Sokol,RU,59.46,40.12,27.28,98,0,3.83,clear sky
280,Brae,GB,60.4,-1.35,50.0,81,100,35.57,light rain
281,Kloulklubed,PW,7.04,134.26,84.2,83,75,6.93,broken clouds
282,Russell,US,32.35,-85.2,64.4,76,1,4.7,clear sky
283,Aitape,PG,-3.14,142.35,87.17,60,96,5.1,moderate rain
284,Manyana,BW,-23.4,21.72,71.24,52,13,9.95,few clouds
285,Saravan,AM,39.72,45.65,53.6,34,0,4.7,clear sky
286,Whangamata,NZ,-37.2,175.87,68.0,69,100,1.01,overcast clouds
287,Bambanglipuro,ID,-7.95,110.28,81.93,72,51,7.09,light rain
288,Port Hedland,AU,-20.32,118.57,82.4,58,75,11.41,broken clouds
289,Necochea,AR,-38.55,-58.74,60.01,60,26,8.99,scattered clouds
290,Rocha,UY,-34.48,-54.33,49.26,87,0,1.9,clear sky
291,Vestmanna,FO,62.16,-7.17,44.6,93,33,8.05,light rain
292,Whitefish,US,48.41,-114.34,46.4,49,1,3.36,clear sky
293,Lamu,KE,-2.27,40.9,77.0,88,40,3.36,scattered clouds
294,Shingu,JP,33.73,135.98,71.6,64,75,10.29,broken clouds
295,Ust-Tsilma,RU,65.44,52.15,29.79,97,95,8.48,overcast clouds
296,Benton,US,36.33,-94.33,50.0,36,1,6.93,clear sky
297,Dehloran,IR,32.69,47.27,64.76,36,0,3.0,clear sky
298,Lompoc,US,34.64,-120.46,73.4,56,1,9.17,clear sky
299,Baykit,RU,61.67,96.37,23.92,95,100,5.21,light snow
300,Masallatah,LY,32.62,14.0,63.12,66,0,2.75,clear sky
301,Gushikawa,JP,26.35,127.87,78.8,78,1,5.82,clear sky
302,Ribeira Brava,PT,32.65,-17.07,68.0,88,75,4.7,broken clouds
303,Jijiga,ET,9.35,42.8,58.05,35,0,8.43,clear sky
304,Moussoro,TD,13.64,16.49,79.84,20,0,13.85,clear sky
305,Barstow,US,34.9,-117.02,80.6,10,1,6.93,clear sky
306,Harnoli,PK,32.28,71.55,66.02,23,0,0.29,clear sky
307,Chumikan,RU,54.72,135.31,19.22,96,100,9.28,snow
308,Galveston,US,29.37,-94.97,71.6,53,1,19.46,clear sky
309,Sibolga,ID,1.74,98.78,78.53,82,100,2.21,light rain
310,Acapulco,MX,16.86,-99.89,81.07,77,87,6.67,overcast clouds
311,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,71.64,98,48,2.62,light rain
312,Tonkino,RU,57.37,46.46,32.04,95,96,4.05,overcast clouds
313,Matagami,CA,49.75,-77.63,30.2,92,90,32.21,light snow
314,Brigantine,US,39.41,-74.36,53.6,93,90,13.87,overcast clouds
315,Semey,KZ,50.41,80.23,24.8,92,0,6.71,clear sky
316,Chimoio,MZ,-19.12,33.48,64.4,100,40,2.44,scattered clouds
317,Camacha,PT,33.08,-16.33,66.2,88,20,3.24,few clouds
318,Olafsvik,IS,64.89,-23.71,35.31,87,92,12.44,light rain
319,Kirakira,SB,-10.45,161.92,80.98,84,98,12.12,heavy intensity rain
320,Vardo,NO,70.37,31.11,45.14,85,100,28.32,overcast clouds
321,Locri,IT,38.24,16.26,44.01,38,0,11.14,clear sky
322,Akdepe,TM,42.06,59.38,39.2,48,0,9.17,clear sky
323,Ayan,RU,56.45,138.17,26.73,98,100,20.45,snow
324,Nishihara,JP,26.18,127.76,78.8,69,20,8.05,few clouds
325,Xining,CN,36.62,101.77,32.65,78,0,0.83,clear sky
326,Kato Milea,GR,40.25,22.34,55.0,86,0,3.58,clear sky
327,Sabirabad,AZ,40.01,48.48,57.2,100,90,6.93,fog
328,Bubaque,GW,11.28,-15.83,83.25,77,0,15.64,light rain
329,Parana,AR,-31.73,-60.52,66.0,59,0,1.99,clear sky
330,Ugoofaaru,MV,5.67,73.0,82.13,70,50,5.73,scattered clouds
331,Bay Roberts,CA,47.6,-53.26,39.99,81,43,11.01,scattered clouds
332,Upata,VE,8.01,-62.4,77.0,86,99,4.0,heavy intensity rain
333,Rafaela,AR,-31.25,-61.49,64.99,54,0,3.0,clear sky
334,Port Elizabeth,ZA,-33.92,25.57,64.4,88,40,13.87,scattered clouds
335,Agar,IN,23.7,76.02,61.47,31,0,1.72,clear sky
336,Gamba,GA,-2.65,10.0,75.96,91,100,3.42,overcast clouds
337,Umm Lajj,SA,25.02,37.27,77.86,66,0,6.58,clear sky
338,Maneadero,MX,31.72,-116.57,69.01,86,0,3.49,clear sky
339,Mareeba,AU,-17.0,145.43,89.01,46,0,8.01,clear sky
340,Mulchen,CL,-37.72,-72.23,59.88,83,48,1.05,scattered clouds
341,Cerqueira Cesar,BR,-23.04,-49.17,55.49,80,0,14.92,clear sky
342,Najran,SA,17.49,44.13,59.0,33,0,0.78,clear sky
343,Salalah,OM,17.02,54.09,73.4,43,0,3.36,clear sky
344,Port Blair,IN,11.67,92.75,81.01,76,0,2.95,clear sky
345,Dakar,SN,14.69,-17.44,78.8,83,0,11.41,clear sky
346,Kapit,MY,2.02,112.93,81.97,77,100,1.59,overcast clouds
347,Copiapo,CL,-27.37,-70.33,55.4,82,0,11.41,clear sky
348,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,64,0,5.7,clear sky
349,Pekalongan,ID,-6.89,109.68,82.33,72,100,2.98,overcast clouds
350,Port Pirie,AU,-33.18,138.02,82.4,30,0,10.29,clear sky
351,Putina,PE,-15.47,-69.43,46.26,74,66,9.46,broken clouds
352,Naze,JP,28.37,129.48,77.0,78,75,4.7,broken clouds
353,Visnes,NO,59.36,5.22,48.99,93,90,23.04,moderate rain
354,Qaqortoq,GL,60.72,-46.03,21.2,73,0,5.82,clear sky
355,Tezu,IN,27.92,96.17,72.77,71,84,1.05,broken clouds
356,Nandi Hills,KE,0.11,35.18,53.6,87,0,9.17,clear sky
357,Santa Maria,BR,-29.68,-53.81,66.2,63,0,11.41,clear sky
358,Ostrovnoy,RU,68.05,39.51,38.8,92,100,23.15,overcast clouds
359,Roald,NO,62.58,6.13,51.8,57,10,10.29,clear sky
360,Cacoal,BR,-11.44,-61.45,76.75,82,100,7.29,overcast clouds
361,Tual,ID,-5.67,132.75,83.12,73,99,12.21,overcast clouds
362,Agadez,NE,19.75,10.25,64.33,34,16,10.96,few clouds
